,author,title,body,date,rating,helpful
87,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
88,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
89,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
90,,Item as described,Item as described,2018-10-29,5,1
91,,Love love love,Love love love it!!!!,2018-10-29,5,1
92,,Easy yo use,Love it,2018-10-29,5,1
93,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
94,,good price,It is what i was looking,2018-10-29,5,1
95,,Ease of use.,Continuous improvement,2018-10-29,5,1
96,,Five Stars,Good item,2018-10-29,5,1
97,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
98,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
99,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
100,,Item as described,Item as described,2018-10-29,5,0
101,,Love love love,Love love love it!!!!,2018-10-29,5,0
102,,Easy yo use,Love it,2018-10-29,5,0
103,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
104,,good price,It is what i was looking,2018-10-29,5,0
105,,Ease of use.,Continuous improvement,2018-10-29,5,0
106,,Five Stars,Good item,2018-10-29,5,0
107,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
108,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
109,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
110,,Item as described,Item as described,2018-10-29,5,0
111,,Love love love,Love love love it!!!!,2018-10-29,5,0
112,,Easy yo use,Love it,2018-10-29,5,0
113,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
114,,good price,It is what i was looking,2018-10-29,5,0
115,,Ease of use.,Continuous improvement,2018-10-29,5,0
116,,Five Stars,Good item,2018-10-29,5,0
117,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
118,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
119,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
120,,Item as described,Item as described,2018-10-29,5,0
121,,Love love love,Love love love it!!!!,2018-10-29,5,0
122,,Easy yo use,Love it,2018-10-29,5,0
123,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
124,,good price,It is what i was looking,2018-10-29,5,0
125,,Ease of use.,Continuous improvement,2018-10-29,5,0
126,,Five Stars,Good item,2018-10-29,5,0
127,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
128,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
129,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
130,,Item as described,Item as described,2018-10-29,5,0
131,,Love love love,Love love love it!!!!,2018-10-29,5,0
132,,Easy yo use,Love it,2018-10-29,5,0
133,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
134,,good price,It is what i was looking,2018-10-29,5,0
135,,Ease of use.,Continuous improvement,2018-10-29,5,0
136,,Five Stars,Good item,2018-10-29,5,0
137,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
138,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
139,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
140,,Item as described,Item as described,2018-10-29,5,0
141,,Love love love,Love love love it!!!!,2018-10-29,5,0
142,,Easy yo use,Love it,2018-10-29,5,0
143,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
144,,good price,It is what i was looking,2018-10-29,5,0
145,,Ease of use.,Continuous improvement,2018-10-29,5,0
146,,Five Stars,Good item,2018-10-29,5,0
147,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
148,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
149,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
150,,Item as described,Item as described,2018-10-29,5,1
151,,Love love love,Love love love it!!!!,2018-10-29,5,1
152,,Easy yo use,Love it,2018-10-29,5,1
153,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
154,,good price,It is what i was looking,2018-10-29,5,1
155,,Ease of use.,Continuous improvement,2018-10-29,5,1
156,,Five Stars,Good item,2018-10-29,5,1
157,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
158,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
159,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
160,,Item as described,Item as described,2018-10-29,5,0
161,,Love love love,Love love love it!!!!,2018-10-29,5,0
162,,Easy yo use,Love it,2018-10-29,5,0
163,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
164,,good price,It is what i was looking,2018-10-29,5,0
165,,Ease of use.,Continuous improvement,2018-10-29,5,0
166,,Five Stars,Good item,2018-10-29,5,0
167,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
168,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
169,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
170,,Item as described,Item as described,2018-10-29,5,0
171,,Love love love,Love love love it!!!!,2018-10-29,5,0
172,,Easy yo use,Love it,2018-10-29,5,0
173,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
174,,good price,It is what i was looking,2018-10-29,5,0
175,,Ease of use.,Continuous improvement,2018-10-29,5,0
176,,Five Stars,Good item,2018-10-29,5,0
177,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
178,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
179,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
180,,Item as described,Item as described,2018-10-29,5,1
181,,Love love love,Love love love it!!!!,2018-10-29,5,1
182,,Easy yo use,Love it,2018-10-29,5,1
183,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
184,,good price,It is what i was looking,2018-10-29,5,1
185,,Ease of use.,Continuous improvement,2018-10-29,5,1
186,,Five Stars,Good item,2018-10-29,5,1
187,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
188,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
189,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
190,,Item as described,Item as described,2018-10-29,5,1
191,,Love love love,Love love love it!!!!,2018-10-29,5,1
192,,Easy yo use,Love it,2018-10-29,5,1
193,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
194,,good price,It is what i was looking,2018-10-29,5,1
195,,Ease of use.,Continuous improvement,2018-10-29,5,1
196,,Five Stars,Good item,2018-10-29,5,1
197,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
198,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
199,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
200,,Item as described,Item as described,2018-10-29,5,0
201,,Love love love,Love love love it!!!!,2018-10-29,5,0
202,,Easy yo use,Love it,2018-10-29,5,0
203,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
204,,good price,It is what i was looking,2018-10-29,5,0
205,,Ease of use.,Continuous improvement,2018-10-29,5,0
206,,Five Stars,Good item,2018-10-29,5,0
207,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
208,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
209,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
210,,Item as described,Item as described,2018-10-29,5,0
211,,Love love love,Love love love it!!!!,2018-10-29,5,0
212,,Easy yo use,Love it,2018-10-29,5,0
213,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
214,,good price,It is what i was looking,2018-10-29,5,0
215,,Ease of use.,Continuous improvement,2018-10-29,5,0
216,,Five Stars,Good item,2018-10-29,5,0
217,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
218,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
219,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
220,,Item as described,Item as described,2018-10-29,5,0
221,,Love love love,Love love love it!!!!,2018-10-29,5,0
222,,Easy yo use,Love it,2018-10-29,5,0
223,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
224,,good price,It is what i was looking,2018-10-29,5,0
225,,Ease of use.,Continuous improvement,2018-10-29,5,0
226,,Five Stars,Good item,2018-10-29,5,0
227,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
228,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
229,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
230,,Item as described,Item as described,2018-10-29,5,1
231,,Love love love,Love love love it!!!!,2018-10-29,5,1
232,,Easy yo use,Love it,2018-10-29,5,1
233,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
234,,good price,It is what i was looking,2018-10-29,5,1
235,,Ease of use.,Continuous improvement,2018-10-29,5,1
236,,Five Stars,Good item,2018-10-29,5,1
237,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
238,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
239,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
240,,Item as described,Item as described,2018-10-29,5,0
241,,Love love love,Love love love it!!!!,2018-10-29,5,0
242,,Easy yo use,Love it,2018-10-29,5,0
243,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
244,,good price,It is what i was looking,2018-10-29,5,0
245,,Ease of use.,Continuous improvement,2018-10-29,5,0
246,,Five Stars,Good item,2018-10-29,5,0
247,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
248,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
249,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
250,,Item as described,Item as described,2018-10-29,5,0
251,,Love love love,Love love love it!!!!,2018-10-29,5,0
252,,Easy yo use,Love it,2018-10-29,5,0
253,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
254,,good price,It is what i was looking,2018-10-29,5,0
255,,Ease of use.,Continuous improvement,2018-10-29,5,0
256,,Five Stars,Good item,2018-10-29,5,0
257,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
258,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
259,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
260,,Item as described,Item as described,2018-10-29,5,0
261,,Love love love,Love love love it!!!!,2018-10-29,5,0
262,,Easy yo use,Love it,2018-10-29,5,0
263,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
264,,good price,It is what i was looking,2018-10-29,5,0
265,,Ease of use.,Continuous improvement,2018-10-29,5,0
266,,Five Stars,Good item,2018-10-29,5,0
267,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
268,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
269,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
270,,Item as described,Item as described,2018-10-29,5,0
271,,Love love love,Love love love it!!!!,2018-10-29,5,0
272,,Easy yo use,Love it,2018-10-29,5,0
273,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
274,,good price,It is what i was looking,2018-10-29,5,0
275,,Ease of use.,Continuous improvement,2018-10-29,5,0
276,,Five Stars,Good item,2018-10-29,5,0
277,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
278,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
279,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
280,,Item as described,Item as described,2018-10-29,5,1
281,,Love love love,Love love love it!!!!,2018-10-29,5,1
282,,Easy yo use,Love it,2018-10-29,5,1
283,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
284,,good price,It is what i was looking,2018-10-29,5,1
285,,Ease of use.,Continuous improvement,2018-10-29,5,1
286,,Five Stars,Good item,2018-10-29,5,1
287,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
288,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
289,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
290,,Item as described,Item as described,2018-10-29,5,1
291,,Love love love,Love love love it!!!!,2018-10-29,5,1
292,,Easy yo use,Love it,2018-10-29,5,1
293,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
294,,good price,It is what i was looking,2018-10-29,5,1
295,,Ease of use.,Continuous improvement,2018-10-29,5,1
296,,Five Stars,Good item,2018-10-29,5,1
297,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
298,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
299,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
300,,Item as described,Item as described,2018-10-29,5,0
301,,Love love love,Love love love it!!!!,2018-10-29,5,0
302,,Easy yo use,Love it,2018-10-29,5,0
303,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
304,,good price,It is what i was looking,2018-10-29,5,0
305,,Ease of use.,Continuous improvement,2018-10-29,5,0
306,,Five Stars,Good item,2018-10-29,5,0
307,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
308,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
309,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
310,,Item as described,Item as described,2018-10-29,5,1
311,,Love love love,Love love love it!!!!,2018-10-29,5,1
312,,Easy yo use,Love it,2018-10-29,5,1
313,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
314,,good price,It is what i was looking,2018-10-29,5,1
315,,Ease of use.,Continuous improvement,2018-10-29,5,1
316,,Five Stars,Good item,2018-10-29,5,1
317,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
318,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
319,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
320,,Item as described,Item as described,2018-10-29,5,0
321,,Love love love,Love love love it!!!!,2018-10-29,5,0
322,,Easy yo use,Love it,2018-10-29,5,0
323,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
324,,good price,It is what i was looking,2018-10-29,5,0
325,,Ease of use.,Continuous improvement,2018-10-29,5,0
326,,Five Stars,Good item,2018-10-29,5,0
327,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
328,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
329,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
330,,Item as described,Item as described,2018-10-29,5,1
331,,Love love love,Love love love it!!!!,2018-10-29,5,1
332,,Easy yo use,Love it,2018-10-29,5,1
333,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
334,,good price,It is what i was looking,2018-10-29,5,1
335,,Ease of use.,Continuous improvement,2018-10-29,5,1
336,,Five Stars,Good item,2018-10-29,5,1
337,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
338,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
339,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
340,,Item as described,Item as described,2018-10-29,5,1
341,,Love love love,Love love love it!!!!,2018-10-29,5,1
342,,Easy yo use,Love it,2018-10-29,5,1
343,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
344,,good price,It is what i was looking,2018-10-29,5,1
345,,Ease of use.,Continuous improvement,2018-10-29,5,1
346,,Five Stars,Good item,2018-10-29,5,1
347,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
348,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
349,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
350,,Item as described,Item as described,2018-10-29,5,1
351,,Love love love,Love love love it!!!!,2018-10-29,5,1
352,,Easy yo use,Love it,2018-10-29,5,1
353,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
354,,good price,It is what i was looking,2018-10-29,5,1
355,,Ease of use.,Continuous improvement,2018-10-29,5,1
356,,Five Stars,Good item,2018-10-29,5,1
357,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
358,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
359,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
360,,Item as described,Item as described,2018-10-29,5,0
361,,Love love love,Love love love it!!!!,2018-10-29,5,0
362,,Easy yo use,Love it,2018-10-29,5,0
363,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
364,,good price,It is what i was looking,2018-10-29,5,0
365,,Ease of use.,Continuous improvement,2018-10-29,5,0
366,,Five Stars,Good item,2018-10-29,5,0
367,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
368,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
369,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
370,,Item as described,Item as described,2018-10-29,5,0
371,,Love love love,Love love love it!!!!,2018-10-29,5,0
372,,Easy yo use,Love it,2018-10-29,5,0
373,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
374,,good price,It is what i was looking,2018-10-29,5,0
375,,Ease of use.,Continuous improvement,2018-10-29,5,0
376,,Five Stars,Good item,2018-10-29,5,0
377,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
378,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
379,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
380,,Item as described,Item as described,2018-10-29,5,0
381,,Love love love,Love love love it!!!!,2018-10-29,5,0
382,,Easy yo use,Love it,2018-10-29,5,0
383,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
384,,good price,It is what i was looking,2018-10-29,5,0
385,,Ease of use.,Continuous improvement,2018-10-29,5,0
386,,Five Stars,Good item,2018-10-29,5,0
387,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
388,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
389,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
390,,Item as described,Item as described,2018-10-29,5,1
391,,Love love love,Love love love it!!!!,2018-10-29,5,1
392,,Easy yo use,Love it,2018-10-29,5,1
393,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
394,,good price,It is what i was looking,2018-10-29,5,1
